title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres
Beneath a Scarlet Sky,Mark T. Sullivan,English,4.43,316389,23786,Lake Union Publishing,2017.0,509.0,Paperback,"['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'War', 'Italy', 'Audiobook', 'Book Club', 'Adult', 'Holocaust']"
At the Mountains of Madness,H.P. Lovecraft,English,3.83,47738,3830,The Modern Library,2005.0,194.0,Paperback,"['Horror', 'Fiction', 'Classics', 'Science Fiction', 'Fantasy', 'Lovecraftian', 'Short Stories', 'Audiobook', 'Weird Fiction', 'Novels']"
Losing It,Cora Carmack,English,3.73,105447,7453,HarperCollins Publishers,2012.0,189.0,ebook,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'College', 'Young Adult', 'Chick Lit', 'Adult', 'Fiction', 'Humor']"
Lectures on Faith,Joseph Smith Jr.,English,4.49,5569,286,Deseret Book Co,1993.0,88.0,Hardcover,"['Religion', 'Lds', 'Nonfiction', 'Church', 'Spirituality', 'Theology', 'Inspirational', 'Lds Non Fiction', 'Mormonism', 'Faith']"
The Time Paradox,Eoin Colfer,English,4.08,88695,2456,Hyperion Books for Children/Disney Book Group,2008.0,391.0,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Middle Grade', 'Adventure', 'Magic', 'Childrens', 'Urban Fantasy', 'Time Travel']"
Stories of Your Life and Others,Ted Chiang,English,4.26,92937,11146,Small Beer Press,2010.0,281.0,ebook,"['Short Stories', 'Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Science Fiction Fantasy', 'Anthologies', 'Philosophy', 'Audiobook', 'Short Story Collection']"
Bridget Jones: The Edge of Reason,Helen Fielding,English,3.61,108517,2866,Penguin Books,2001.0,352.0,Paperback,"['Chick Lit', 'Fiction', 'Romance', 'Humor', 'Contemporary', 'British Literature', 'Comedy', 'Adult', 'Adult Fiction', 'Novels']"
Forever Too Far,Abbi Glines,English,4.2,85063,4786,Abbi Glines,2013.0,292.0,Kindle Edition,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Erotica', 'Adult', 'Chick Lit', 'Fiction', 'Love']"
The Coven of Deeds,Malcolm McCoard,,4.35,106,15,,2021.0,475.0,Paperback,['Fantasy']
Skeleton Man,Tony Hillerman,English,4.0,7934,457,HarperTorch,2006.0,336.0,Paperback,"['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Westerns', 'Native Americans', 'Audiobook', 'Thriller', 'Detective', 'Adventure']"
The cartilaginous skeleton of the bronchial tree,Ferdinand Vanpeperstraete,English,0.0,0,0,Springer,1973.0,80.0,Hardcover,"['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Westerns', 'Native Americans', 'Audiobook', 'Thriller', 'Detective', 'Adventure']"
Pilgrim at Tinker Creek,Annie Dillard,English,4.09,25623,2607,Harper Perennial,2000.0,288.0,Paperback,"['Nonfiction', 'Nature', 'Memoir', 'Essays', 'Classics', 'Philosophy', 'Science', 'Environment', 'Spirituality', 'Literature']"
"Capital: A Critique of Political Economy, Volume 1",Karl Marx,English,4.26,11180,744,Penguin Classics,1992.0,1152.0,Paperback,"['Philosophy', 'Economics', 'Politics', 'Nonfiction', 'History', 'Theory', 'Classics', 'Sociology', 'Political Science', 'German Literature']"
Bone: The Complete Edition,Jeff Smith,English,4.45,35893,1787,Cartoon Books,2004.0,1332.0,Paperback,"['Graphic Novels', 'Comics', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Adventure', 'Young Adult', 'Comic Book', 'Humor', 'Childrens']"
Ordeal,Tatyana K. Varenko,English,3.98,121,53,CreateSpace,2010.0,215.0,Kindle Edition,"['Vampires', 'Paranormal Romance', 'Romance', 'Paranormal', 'Fantasy', 'Young Adult']"
The Warrior Heir,Cinda Williams Chima,English,3.94,51437,3414,Hyperion Paperbacks,2007.0,426.0,Paperback,"['Fantasy', 'Young Adult', 'Magic', 'Fiction', 'Young Adult Fantasy', 'Urban Fantasy', 'Adventure', 'Romance', 'Teen', 'Paranormal']"
Awoken,Timothy   Miller,,4.15,148,8,Spencer Hill Press,2013.0,321.0,Paperback,"['Fantasy', 'Fiction', 'Young Adult']"
The Nanny Song,Misty Mount,,4.22,786,39,Willow River Press,2018.0,318.0,Kindle Edition,"['Fiction', 'Young Adult', 'Contemporary', 'New Adult', 'Adult', 'Contemporary Romance', 'Romance', 'Novels', 'Love Story', 'Chick Lit']"
Verity,Colleen Hoover,English,4.36,1874157,181435,"Hoover Ink, Inc.",2018.0,324.0,Kindle Edition,"['Thriller', 'Romance', 'Mystery', 'Fiction', 'Mystery Thriller', 'Contemporary', 'Suspense', 'Adult', 'Audiobook', 'Dark']"
The Lacuna,Barbara Kingsolver,English,3.8,66922,8210,Harper,2009.0,508.0,Hardcover,"['Fiction', 'Historical Fiction', 'Historical', 'Literary Fiction', 'Novels', 'Art', 'Book Club', 'Literature', 'Unfinished', 'Audiobook']"
I Dream of Yellow Kites,Retta Bono,English,3.9,69,5,,2016.0,99.0,Kindle Edition,"['Young Adult', 'Paranormal', 'Thriller', 'Mystery', 'Suspense', 'Crime']"
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,English,4.36,169899,13814,Sceptre,2018.0,342.0,Hardcover,"['Nonfiction', 'Science', 'Psychology', 'Economics', 'History', 'Politics', 'Self Help', 'Business', 'Philosophy', 'Sociology']"
The Fever,Megan Abbott,English,3.1,24277,3146,"Little, Brown and Company",2014.0,307.0,Hardcover,"['Fiction', 'Young Adult', 'Mystery', 'Thriller', 'Horror', 'Contemporary', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adult Fiction']"
The Story of a New Name,Elena Ferrante,English,4.43,158986,10635,Europa Editions,2013.0,471.0,Paperback,"['Fiction', 'Historical Fiction', 'Italy', 'Italian Literature', 'Literary Fiction', 'Novels', 'Audiobook', 'Contemporary', 'Historical', 'Womens']"
The Poet X,Elizabeth Acevedo,English,4.39,115575,19851,HarperTeen ,2018.0,368.0,Kindle Edition,"['Poetry', 'Young Adult', 'Contemporary', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Romance', 'Coming Of Age', 'LGBT', 'Young Adult Contemporary']"
The Elements of Style,William Strunk Jr.,English,4.18,81838,4499,Allyn & Bacon,1999.0,105.0,Hardcover,"['Writing', 'Nonfiction', 'Reference', 'Language', 'Classics', 'Education', 'Self Help', 'Business', 'School', 'How To']"
Trust: A New Beginning,Cristiane Serruya,English,3.54,2755,146,CreateSpace,2012.0,464.0,Paperback,"['Romance', 'Erotica', 'Contemporary Romance', 'Contemporary', 'Dark', 'Suspense', 'Adult', 'Amazon', 'Erotic Romance', 'Fiction']"
Succubus on Top,Richelle Mead,English,4.05,32235,1354,Kensington,2008.0,314.0,Paperback,"['Urban Fantasy', 'Paranormal', 'Fantasy', 'Romance', 'Paranormal Romance', 'Vampires', 'Demons', 'Adult', 'Angels', 'Supernatural']"
Annabel Lee,Edgar Allan Poe,English,4.33,9558,531,Tundra Books,1987.0,24.0,,"['Poetry', 'Classics', 'Horror', 'Romance', 'Fiction', 'Gothic', 'Short Stories', 'School', 'American', 'Literature']"
Baltasar and Blimunda,José Saramago,English,3.94,20962,1122,HarperVia,1998.0,346.0,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'Portugal', 'Portuguese Literature', 'Romance', 'Literature', 'Nobel Prize', 'Historical', 'Magical Realism']"
Freak the Mighty,Rodman Philbrick,English,4.01,50982,5024,Scholastic,1993.0,192.0,Paperback,"['Young Adult', 'Realistic Fiction', 'Fiction', 'Middle Grade', 'School', 'Childrens', 'Read For School', 'Contemporary', 'Coming Of Age', 'Classics']"
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,English,3.71,134536,12632,Grand Central Publishing,2010.0,336.0,Hardcover,"['Fiction', 'Fantasy', 'Historical Fiction', 'Horror', 'Vampires', 'Paranormal', 'Historical', 'Supernatural', 'Alternate History', 'Humor']"
Cocaine Nights,J.G. Ballard,English,3.55,5853,316,Counterpoint,1999.0,336.0,Paperback,"['Fiction', 'Mystery', 'Crime', 'Dystopia', 'Thriller', 'British Literature', 'Literature', 'Science Fiction', 'Novels', '20th Century']"
Ghost Hunter,Michelle Paver,English,4.4,8859,307,Orion Childrens,2009.0,245.0,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Historical Fiction', 'Adventure', 'Childrens', 'Historical', 'Middle Grade', 'Magic', 'Animals']"
"Tokyo Ghoul, Tome 1",Sui Ishida,French,4.42,130753,3334,Glénat,2013.0,224.0,Mass Market Paperback,"['Manga', 'Horror', 'Fantasy', 'Graphic Novels', 'Comics', 'Fiction', 'Paranormal', 'Young Adult', 'Supernatural', 'Seinen']"
"பொன்னியின் செல்வன், முழுத்தொகுப்பு",Kalki,Tamil,4.7,10003,833,வானதி பதிப்பகம்,2007.0,1452.0,Hardcover,"['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Indian Literature', 'Fantasy', 'Historical', 'Adventure', 'India', 'Thriller']"
The Symposium,Plato,English,4.08,61201,2753,Penguin Books,2003.0,90.0,Paperback,"['Philosophy', 'Classics', 'Nonfiction', 'School', 'Ancient', 'History', 'Greece', 'Ancient History', 'Literature', 'College']"
Piercing the Darkness,Frank E. Peretti,English,4.32,61259,835,Crossway Books,2003.0,448.0,Paperback,"['Christian Fiction', 'Fiction', 'Christian', 'Fantasy', 'Thriller', 'Religion', 'Spirituality', 'Suspense', 'Supernatural', 'Faith']"
The Jungle Book,Rudyard Kipling,English,3.91,118369,4480,Tor Classics ,1992.0,277.0,Mass Market Paperback,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Adventure', 'Short Stories', 'Animals', 'Young Adult', 'India', 'Literature']"
"Dancing with The Field: Bringing Joy, Passion and Play into Everyday Life",Kris Kelkar,English,4.35,108,6,Independently Published,2019.0,132.0,Paperback,"['Drama', 'Book Club']"
Maya's Magical Adventures,Malcolm McCoard,,4.57,222,38,,2017.0,175.0,Kindle Edition,"['Fantasy', 'Humor', 'Childrens', 'Fiction', 'Young Adult']"
Hunting Ground,Patricia Briggs,English,4.28,67796,2523,Ace,2009.0,286.0,Mass Market Paperback,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Werewolves', 'Vampires', 'Shapeshifters', 'Fiction', 'Magic']"
The Darkest Kiss,Gena Showalter,English,4.24,54475,1955,Harlequin Enterprises Limited,2008.0,384.0,Mass Market Paperback,"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Demons', 'Mythology', 'Adult', 'Urban Fantasy', 'Supernatural', 'Fiction']"
The Kings of Clonmel,John Flanagan,English,4.3,55476,1463,Random House,2010.0,320.0,Paperback,"['Fantasy', 'Young Adult', 'Adventure', 'Fiction', 'Middle Grade', 'Action', 'Young Adult Fantasy', 'Medieval', 'Childrens', 'High Fantasy']"
Notes from a Small Island,Bill Bryson,English,3.91,108903,4999,William Morrow Paperbacks,1997.0,324.0,Paperback,"['Travel', 'Nonfiction', 'Humor', 'Memoir', 'British Literature', 'Biography', 'Audiobook', 'History', 'Comedy', 'Travelogue']"
Crime,Irvine Welsh,English,3.59,4885,265,Jonathan Cape,2008.0,344.0,Paperback,"['Fiction', 'Crime', 'Thriller', 'Mystery', 'Scotland', 'Novels', 'Suspense', 'Contemporary', 'Drama', 'Dark']"
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,English,4.06,54165,3800,Random House,2001.0,304.0,Kindle Edition,"['Nonfiction', 'Science', 'Food', 'Nature', 'History', 'Biology', 'Environment', 'Gardening', 'Plants', 'Health']"
The Lunatic Cafe,Laurell K. Hamilton,English,4.12,77212,1524,Berkley ,2005.0,352.0,Hardcover,"['Urban Fantasy', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Paranormal Romance', 'Fiction', 'Supernatural', 'Werewolves']"
Finding Sky,Joss Stirling,English,4.06,20897,1742,Oxford University Press,2010.0,320.0,Paperback,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'Supernatural', 'Fiction', 'Magic', 'Mystery']"
Vampire Kisses: The Beginning,Ellen Schreiber,English,4.13,27951,532,Katherine Tegen Books,2009.0,562.0,Paperback,"['Vampires', 'Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Supernatural', 'Paranormal Romance', 'Teen', 'Fiction', 'Urban Fantasy']"
The Necromancer,Michael Scott,English,4.14,64639,2041,Delacorte Books for Young Readers,2010.0,416.0,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Mythology', 'Magic', 'Adventure', 'Urban Fantasy', 'Young Adult Fantasy', 'Audiobook', 'Middle Grade']"
Two Boys Kissing,David Levithan,English,4.08,46140,5072,Knopf Books for Young Readers,2013.0,200.0,Hardcover,"['Young Adult', 'LGBT', 'Romance', 'Contemporary', 'Fiction', 'Queer', 'Gay', 'Realistic Fiction', 'M M Romance', 'Banned Books']"
The Recruit,Robert Muchamore,English,4.24,34319,2289,Simon Pulse,2005.0,342.0,Paperback,"['Young Adult', 'Fiction', 'Adventure', 'Action', 'Espionage', 'Mystery', 'Thriller', 'Childrens', 'Middle Grade', 'Teen']"
The Lowland,Jhumpa Lahiri,English,3.87,91320,8823,Knopf,2013.0,340.0,Hardcover,"['Fiction', 'India', 'Historical Fiction', 'Literary Fiction', 'Novels', 'Contemporary', 'Asia', 'Literature', 'Audiobook', 'Indian Literature']"
Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,English,4.27,49307,2102,Universities Press,2011.0,700.0,Hardcover,"['Biography', 'Nonfiction', 'Autobiography', 'India', 'Indian Literature', 'Inspirational', 'Memoir', 'Science', 'History', 'Self Help']"
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,English,3.75,133084,4655,HarperTeen,2000.0,247.0,Hardcover,"['Young Adult', 'Fiction', 'Humor', 'Romance', 'Contemporary', 'Chick Lit', 'Teen', 'Realistic Fiction', 'Childrens', 'Comedy']"
The Woman Who Rides Like a Man,Tamora Pierce,English,4.18,78055,1857,Simon Pulse,2005.0,284.0,Mass Market Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Young Adult Fantasy', 'Romance', 'High Fantasy', 'Childrens', 'Teen']"
Proud Pada,S.G. Blaise,English,4.33,956,43,,2022.0,250.0,Kindle Edition,"['Fiction', 'Novels', 'Drama', 'Epic', 'Contemporary', 'Fantasy']"
Rot & Ruin,Jonathan Maberry,English,4.1,34541,3871,Simon & Schuster Books For Young Readers,2010.0,458.0,Hardcover,"['Zombies', 'Young Adult', 'Horror', 'Dystopia', 'Post Apocalyptic', 'Fiction', 'Science Fiction', 'Fantasy', 'Paranormal', 'Teen']"
Theft of Swords,Michael J. Sullivan,English,4.22,64377,4609,Orbit,2011.0,691.0,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adventure', 'Audiobook', 'Adult', 'Magic', 'Science Fiction Fantasy', 'Epic']"
Homo Faber,Max Frisch,English,3.71,24028,825,HarperVia,1994.0,228.0,Paperback,"['Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', 'Roman', '20th Century', 'Read For School', 'Germany']"
"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,English,4.08,113697,3316,Vertigo,2003.0,130.0,Paperback,"['Graphic Novels', 'Comics', 'Science Fiction', 'Fiction', 'Graphic Novels Comics', 'Dystopia', 'Comic Book', 'Post Apocalyptic', 'Fantasy', 'Adult']"
The Art of Loving,Erich Fromm,English,4.01,73160,3930,Harper Perennial Modern Classics,2006.0,180.0,Paperback,"['Psychology', 'Philosophy', 'Nonfiction', 'Self Help', 'Love', 'Relationships', 'Classics', 'Sociology', 'Spirituality', 'Personal Development']"
The Samurai's Garden,Gail Tsukiyama,English,4.14,24656,2351,St. Martin's Griffin,1995.0,211.0,Paperback,"['Historical Fiction', 'Fiction', 'Japan', 'Asia', 'Historical', 'Asian Literature', 'China', 'Japanese Literature', 'Novels', 'Literature']"
Caressed by Ice,Nalini Singh,English,4.29,38652,2160,Berkley Sensation,2007.0,352.0,Mass Market Paperback,"['Paranormal Romance', 'Romance', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Shapeshifters', 'Adult', 'Science Fiction', 'Fiction', 'Werewolves']"
Fairest,Marissa Meyer,English,3.96,130450,15778,Feiwel & Friends,2015.0,272.0,Hardcover,"['Fantasy', 'Young Adult', 'Science Fiction', 'Retellings', 'Dystopia', 'Fiction', 'Romance', 'Fairy Tales', 'Audiobook', 'Novella']"
What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,English,4.14,163512,10676,Dey Street Books,2014.0,303.0,Hardcover,"['Nonfiction', 'Science', 'Humor', 'Audiobook', 'Physics', 'Comedy', 'Popular Science', 'Comics', 'Adult', 'Reference']"
MaddAddam,Margaret Atwood,English,4.01,72851,5821,Nan A. Talese,2013.0,394.0,Hardcover,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Speculative Fiction', 'Fantasy', 'Canada', 'Audiobook', 'Science Fiction Fantasy', 'Novels']"
The Blind Owl,Sadegh Hedayat,English,3.98,25571,2508,Grove Press,1994.0,148.0,Paperback,"['Fiction', 'Iran', 'Classics', 'Novels', 'Horror', 'Literature', 'Philosophy', '20th Century', 'Literary Fiction', 'Novella']"
Selected Poems,Robert Frost,English,4.15,5589,244,Gramercy,2001.0,224.0,Hardcover,"['Poetry', 'Classics', 'Literature', 'Nonfiction', 'American', 'Collections', 'School', '20th Century', 'The United States Of America', 'Classic Literature']"
"Stop! Don't Read This, It's Impossible!",Malcolm McCoard,,4.54,168,11,Independently published,2018.0,244.0,Paperback,"['Childrens', 'Fantasy']"
