title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
Possession,A.S. Byatt,English,3.89,"78,111","4,991",Vintage,1991.0,555.0,Paperback,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Mystery', 'Historical', 'Literary Fiction', 'Literature', 'Novels', 'British Literature']",https://www.goodreads.com/book/show/41219.Possession
Two Can Keep a Secret,Karen M. McManus,English,3.95,"120,305","12,927",Delacorte Press,2019.0,329.0,Hardcover,"['Mystery', 'Young Adult', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Crime', 'Romance', 'Murder Mystery']",https://www.goodreads.com/book/show/38225791-two-can-keep-a-secret
Dark Desire,Christine Feehan,English,4.19,"30,881",982,Leisure Books,2005.0,369.0,Mass Market Paperback,"['Paranormal Romance', 'Paranormal', 'Romance', 'Vampires', 'Fantasy', 'Dark', 'Adult', 'Fiction', 'Urban Fantasy', 'Supernatural']",https://www.goodreads.com/book/show/180426.Dark_Desire
Dom Wars: Round Six,Lucian Bane,English,4.21,749,129,,2014.0,132.0,Kindle Edition,"['Young Adult', 'Science Fiction', 'Romance', 'Fantasy', 'Dystopia', 'Paranormal', 'Mystery', 'Contemporary', 'Fiction', 'Death']",https://www.goodreads.com/book/show/22912730-dom-wars
Angelfall,Susan Ee,English,4.11,"186,403","17,172",Skyscape,2012.0,288.0,Kindle Edition,"['Fantasy', 'Young Adult', 'Angels', 'Paranormal', 'Dystopia', 'Romance', 'Urban Fantasy', 'Post Apocalyptic', 'Fiction', 'Supernatural']",https://www.goodreads.com/book/show/15863832-angelfall
The Perilous Gard,Elizabeth Marie Pope,English,4.1,"8,618",843,Houghton Mifflin,2001.0,280.0,Paperback,"['Fantasy', 'Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Romance', 'Fairy Tales', 'Middle Grade', 'Historical Fantasy', 'Retellings']",https://www.goodreads.com/book/show/195381.The_Perilous_Gard
Separation of Power,Vince Flynn,English,4.32,"46,230","1,129",Pocket,2002.0,448.0,Paperback,"['Fiction', 'Thriller', 'Espionage', 'Action', 'Mystery', 'Suspense', 'Spy Thriller', 'Mystery Thriller', 'Audiobook', 'Military Fiction']",https://www.goodreads.com/book/show/937249.Separation_of_Power
Forward the Foundation,Isaac Asimov,English,4.16,"53,122","1,332",Bantam/Spectra,1994.0,464.0,Paperback,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Novels', 'Audiobook', 'Space', 'Speculative Fiction']",https://www.goodreads.com/book/show/76679.Forward_the_Foundation
"The Divine Comedy of Dante Alighieri, Volume 2: Purgatorio",Dante Alighieri,Italian,4.04,"25,394","1,122",Oxford University Press,2004.0,704.0,Paperback,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Italian Literature', 'Fantasy', 'Philosophy', 'Medieval', 'Italy']",https://www.goodreads.com/book/show/19164.The_Divine_Comedy_of_Dante_Alighieri_Volume_2
A Countess Below Stairs,Eva Ibbotson,English,3.9,"20,467","2,048",Speak,2007.0,383.0,Paperback,"['Historical Fiction', 'Romance', 'Young Adult', 'Historical', 'Fiction', 'Historical Romance', 'Teen', 'Russia', 'Chick Lit', 'British Literature']",https://www.goodreads.com/book/show/714569.A_Countess_Below_Stairs
Ninth Grade Slays,Heather Brewer,English,4.13,"24,939","1,120",Dutton Children's Books,2008.0,278.0,Hardcover,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Fiction', 'Supernatural', 'Horror', 'Urban Fantasy', 'Teen', 'Romance']",https://www.goodreads.com/book/show/2272813.Ninth_Grade_Slays
Lord John and the Brotherhood of the Blade,Diana Gabaldon,English,3.94,"26,309","1,169",Delacorte Press,2007.0,494.0,Hardcover,"['Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Romance', 'Fantasy', 'Audiobook', 'Historical Romance', 'Time Travel', 'Historical Mystery']",https://www.goodreads.com/book/show/41502.Lord_John_and_the_Brotherhood_of_the_Blade
The Other Boleyn Girl,Philippa Gregory,English,4.08,"487,974","17,533",Washington Square Press,2003.0,661.0,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Adult', 'British Literature', 'Historical Romance', 'Tudor Period', 'Adult Fiction', 'Chick Lit']",https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl
The Magician's Assistant,Ann Patchett,English,3.7,"40,441","3,901",Fourth Estate,1998.0,357.0,Paperback,"['Fiction', 'Literary Fiction', 'Contemporary', 'Audiobook', 'Novels', 'Magic', 'Book Club', 'Adult Fiction', 'Adult', 'Fantasy']",https://www.goodreads.com/book/show/16055.The_Magician_s_Assistant
